school,exper,union,ethn,married,health,wage
15,2,no,other,yes,no,5.29
8,9,yes,hisp,no,no,4.89
12,3,no,other,no,no,5.17
11,3,no,hisp,no,no,4.12
11,5,yes,black,yes,no,4.08
13,3,no,other,no,no,6.81
12,2,no,other,no,no,6.81
15,2,no,other,no,no,1.74
15,1,no,other,no,no,NA
13,2,no,black,yes,no,5.11
13,4,yes,black,no,no,5.82
10,4,no,other,yes,no,3.54
12,2,NA,other,no,no,3.62
14,2,yes,other,no,no,7.08
12,2,yes,other,no,no,4.04
13,2,no,other,no,no,5.68
12,3,no,other,yes,no,2.4
15,2,no,other,no,no,7.49
9,2,no,other,no,no,2.36
11,2,no,other,no,no,3.43
15,2,no,other,yes,no,3.4
12,5,no,other,no,no,5.38
12,2,no,other,no,yes,4.3
10,2,no,other,no,no,1.3
11,4,no,black,no,no,6.16
12,5,yes,other,no,no,7.02
12,NA,yes,hisp,NA,no,1.75
13,2,no,other,yes,no,5.14
6,11,yes,hisp,no,no,5.45
12,3,yes,black,no,no,3.83
13,3,no,other,no,no,4.73
12,1,no,other,no,no,NA
9,6,yes,other,no,no,NA
14,2,no,other,yes,no,6.81
9,4,no,hisp,yes,no,0.41
12,3,yes,other,no,no,7.23
12,3,yes,other,no,no,8.51
12,2,yes,other,no,no,6.65
11,2,no,other,no,no,5.22
10,2,yes,other,no,no,3.03
10,7,no,hisp,no,no,2.52
14,3,NA,other,no,no,3.13
11,3,no,other,no,no,1.67
11,3,yes,black,yes,no,8.51
12,1,no,other,no,no,1.68
12,3,no,other,no,no,6.29
11,2,no,other,no,no,0.97
9,6,no,other,yes,no,4.68
11,3,no,black,no,no,4.25
11,2,no,black,no,no,2.54
11,2,no,hisp,no,no,3.45
12,4,no,other,yes,no,4.55
11,1,no,hisp,no,no,3.44
12,4,yes,other,no,no,5.65
12,3,no,other,no,no,2.65
12,3,no,NA,no,no,3.97
11,1,no,other,no,no,6.01
6,9,no,other,yes,no,6.39
12,5,no,black,no,no,2.02
14,3,no,other,no,no,4.18
11,1,yes,black,no,no,4.96
10,2,yes,other,no,no,2.71
11,2,no,other,no,no,3.29
12,5,no,other,no,no,4.13
15,2,yes,other,no,no,8.94
10,2,yes,other,no,no,5.19
12,3,yes,other,no,no,4.91
12,4,no,hisp,no,no,7.38
13,2,no,black,no,no,6.46
11,1,no,other,NA,no,3.51
11,4,no,hisp,yes,no,4.74
12,3,yes,other,no,NA,5.11
15,2,no,black,no,no,6.92
12,1,no,other,no,no,1.81
12,3,no,other,no,no,4.82
11,2,yes,other,no,no,NA
13,3,yes,other,no,no,9.36
12,5,NA,other,yes,no,7.11
14,1,no,other,no,no,2.83
10,2,no,other,no,no,2.81
14,1,no,other,no,no,5.35
13,2,no,other,no,no,6.38
10,6,yes,black,no,no,4.58
12,3,yes,other,no,no,6
12,2,NA,other,no,no,3.43
13,2,no,other,no,no,1.66
10,7,no,other,no,no,2.48
12,3,no,hisp,no,no,3.56
12,2,no,other,no,no,4.97
8,9,no,black,yes,no,5.26
12,4,no,other,no,no,5.24
13,4,no,other,no,no,1.4
12,4,no,other,no,no,7.13
13,4,no,other,no,no,7.66
11,2,no,other,no,yes,3.47
12,5,yes,hisp,yes,no,6.3
12,3,no,hisp,yes,no,8.15
16,0,no,other,yes,no,5.91
10,2,no,other,no,no,3.19
10,2,no,other,no,no,3.41
14,NA,no,other,no,no,3.1
8,6,yes,hisp,yes,no,3.65
11,3,no,other,no,no,6.81
13,1,no,hisp,no,no,4.36
13,1,no,other,no,no,4
14,2,no,other,no,no,6.95
12,2,no,hisp,no,no,5.93
13,4,yes,other,no,no,1.01
15,2,no,other,no,no,5.3
13,1,no,other,no,no,6.6
12,5,no,black,no,no,7.03
11,1,no,hisp,no,no,5.59
12,NA,no,other,NA,no,5.85
15,1,no,other,no,no,3.43
11,3,no,hisp,no,no,3.09
12,2,no,other,no,no,3.23
12,2,no,other,no,no,1.5
13,3,no,other,no,no,8.42
12,4,no,other,no,no,4.25
12,2,no,other,no,no,2.42
10,2,no,other,no,no,1.62
12,4,no,other,yes,no,3.21
12,3,no,other,no,no,4.85
14,1,no,other,no,no,3.31
14,1,no,other,no,no,1.12
14,2,no,other,no,no,2.44
10,3,no,other,no,no,2.06
11,2,no,other,no,no,1.29
11,2,no,hisp,no,no,3.49
10,2,yes,hisp,no,no,3.31
12,2,yes,other,no,no,4.34
11,2,yes,other,no,no,1.65
12,0,no,hisp,no,no,4.23
11,2,no,other,no,no,3.4
14,2,no,other,yes,no,5.8
12,5,no,other,no,no,4.68
12,NA,no,other,no,no,1.28
8,8,no,other,no,no,NA
12,5,yes,other,no,no,5.36
12,2,no,other,yes,no,6.33
11,2,yes,other,no,no,4.89
14,3,no,hisp,no,no,3.95
12,2,no,other,no,no,1.98
12,2,no,other,no,no,4.23
6,7,no,other,yes,no,3.4
11,2,no,other,no,no,2.93
12,2,no,other,no,no,2.08
11,1,no,black,no,no,2.97
12,5,no,other,yes,no,4.33
8,5,no,other,no,no,3.06
11,1,yes,other,no,no,3.72
11,2,yes,other,no,no,5.11
12,2,no,other,no,no,3.86
12,4,no,other,no,no,6.5
12,2,no,other,no,no,4.81
12,4,no,other,NA,no,2.64
14,3,no,other,no,no,5.11
12,4,yes,other,yes,no,8.74
14,1,no,other,yes,no,3.97
11,2,no,other,no,no,6.3
12,2,no,black,no,no,3.82
14,2,no,other,no,no,NA
9,4,no,other,no,no,2.43
15,2,no,other,no,no,9.45
12,4,yes,other,yes,no,7.57
11,1,yes,other,no,no,2.44
9,5,no,other,no,no,3.1
14,2,no,other,no,no,3.08
10,2,no,other,no,no,3.63
12,2,yes,hisp,no,no,7.87
12,4,no,other,no,no,5.53
12,5,yes,other,yes,no,3.28
11,NA,no,other,no,no,5.11
13,1,no,other,no,no,1.51
11,2,no,other,no,NA,3.25
12,2,yes,hisp,no,no,3.46
7,6,yes,other,no,no,5.15
12,2,no,black,no,no,2.98
11,6,no,other,no,no,3.54
11,2,no,other,no,no,0.98
12,3,no,other,yes,no,5.76
15,1,no,other,no,no,5.21
11,3,yes,black,no,no,2.7
15,2,no,other,no,no,9.08
12,NA,yes,black,no,no,10.61
12,4,no,hisp,no,no,8.26
14,1,yes,black,no,no,4.77
8,3,no,other,no,no,3.3
12,3,no,black,no,no,3.41
12,4,no,other,no,no,4.68
13,4,no,other,no,no,5.34
15,1,no,other,no,no,2.27
12,4,no,black,no,no,0.41
10,3,yes,hisp,no,no,3.73
11,2,no,other,no,no,2.46
13,2,no,other,no,no,4.74
11,3,yes,other,no,no,5.32
12,3,yes,other,yes,no,8.23
12,2,no,black,NA,no,3.86
13,2,no,hisp,yes,no,6.43
11,2,NA,other,no,no,5.15
13,2,no,other,no,no,0.79
11,2,no,other,no,no,3.06
14,1,yes,other,no,no,4.3
12,2,no,other,no,no,NA
12,3,no,hisp,no,no,4.66
12,4,no,hisp,no,no,7.84
11,1,NA,other,no,no,2.25
12,5,yes,other,no,no,6.45
13,2,no,other,no,no,0.5
14,NA,yes,black,no,no,6.13
12,5,yes,black,yes,no,3.96
12,2,yes,other,no,no,2.55
11,1,no,hisp,no,no,1.9
12,3,no,other,yes,no,5.03
12,3,no,other,no,no,2.6
14,2,no,hisp,yes,no,9.38
10,2,no,hisp,no,no,2.8
12,5,yes,other,no,no,7.47
12,4,NA,other,no,no,5.99
12,2,no,other,no,NA,4
11,4,yes,black,no,no,3.31
11,NA,no,other,no,no,2.35
12,2,yes,hisp,no,no,NA
10,4,yes,hisp,yes,no,3.68
8,5,no,other,no,NA,5.07
12,1,no,hisp,no,no,3.25
12,3,yes,black,no,no,8.59
13,2,no,other,no,no,6.23
13,4,no,other,no,no,9.06
14,1,no,other,no,no,4.72
13,2,NA,other,no,no,6.3
12,2,no,other,no,no,3.71
14,2,no,other,no,no,2.91
12,3,no,other,no,no,4.47
15,2,no,black,no,no,3.98
9,6,no,black,no,no,3.2
10,2,no,other,no,no,2.45
12,3,no,other,no,no,3.69
12,2,no,NA,no,no,7.37
11,2,no,other,no,no,1.92
12,2,no,black,NA,no,4.53
12,4,yes,other,no,no,2.7
14,2,yes,other,no,no,8.4
15,2,no,other,no,no,8.46
10,2,no,other,no,no,2.58
12,4,no,other,yes,no,4.49
12,2,no,other,yes,no,NA
11,3,no,other,yes,no,3.69
12,2,NA,black,no,no,4.32
12,4,yes,black,no,no,4.06
12,4,no,other,no,no,5.71
13,4,yes,other,no,no,6.12
10,7,no,other,yes,no,3.29
10,2,no,other,no,no,3.28
11,2,no,hisp,no,no,5.11
12,1,no,other,yes,no,5.19
11,3,no,other,no,no,2.88
11,2,no,other,yes,no,4.75
11,2,no,NA,no,no,3.74
8,6,yes,hisp,no,no,1.53
11,3,yes,hisp,yes,no,3.34
15,2,no,other,no,no,11.77
12,4,yes,black,no,no,3.77
12,2,yes,other,yes,no,3.39
13,2,no,other,no,no,2.27
11,3,yes,other,no,no,NA
10,4,no,hisp,yes,no,3.42
12,4,yes,other,no,no,9.15
11,3,NA,other,no,no,3.23
12,4,no,NA,yes,no,4.55
13,4,no,hisp,yes,no,4.46
14,2,no,other,no,no,5.67
10,4,no,black,no,no,1.97
12,3,yes,other,yes,no,12.99
8,5,no,other,no,no,2.99
12,3,no,other,no,no,5.81
12,4,yes,other,yes,no,4.32
12,5,no,other,no,no,5.2
3,11,no,hisp,no,no,3.02
14,2,no,hisp,no,no,4.11
10,3,no,other,no,no,2.7
10,5,no,black,no,no,2.62
11,2,no,other,no,no,2.69
12,2,yes,other,no,NA,8.27
11,NA,no,black,no,no,3.4
12,2,no,other,no,no,0.78
12,1,yes,other,no,no,9.65
11,6,no,other,no,no,2.37
12,2,no,hisp,no,no,1.54
10,2,NA,other,no,no,2.97
12,4,no,other,no,no,4.25
11,4,no,other,no,no,5.08
6,10,no,hisp,yes,no,3.55
10,2,yes,other,no,no,1.82
11,2,no,hisp,no,no,2.67
11,2,yes,hisp,no,no,6.78
14,1,no,other,no,no,4.96
15,2,no,other,yes,no,10.64
15,2,yes,other,no,no,0.68
12,4,no,other,no,no,3.32
12,1,no,other,no,no,3.06
14,1,no,NA,no,NA,1.87
11,2,no,other,no,no,2.89
12,2,yes,other,yes,no,5.32
12,3,no,other,yes,no,4.8
12,4,no,hisp,no,no,4.37
12,4,no,other,no,no,4.38
14,2,yes,other,no,no,5.45
14,2,no,other,no,no,NA
12,2,no,other,no,no,7.02
16,1,no,other,no,no,3.81
13,2,no,other,yes,no,1.87
15,2,no,other,no,no,1.75
12,2,no,other,yes,no,4.96
12,3,no,other,no,no,3.24
12,3,no,other,no,no,7.45
15,2,yes,other,no,no,12.99
11,2,no,other,no,no,5.96
13,1,no,other,no,no,2.83
8,4,no,hisp,no,no,1.19
12,2,yes,black,no,no,3.16
12,5,no,other,no,no,3.76
13,3,no,other,no,no,4.84
12,5,yes,black,yes,no,7.87
12,4,no,other,no,yes,4.52
16,1,no,other,no,no,3.15
12,3,yes,other,no,NA,9.48
12,5,yes,other,yes,no,7.43
11,2,yes,other,no,no,5.37
12,5,no,black,yes,no,9.23
9,7,no,black,no,no,4.05
9,6,no,other,yes,no,3.38
12,2,no,hisp,yes,no,NA
12,2,yes,hisp,no,no,5.29
12,4,yes,other,no,no,5.35
14,3,no,other,no,no,2.86
12,4,yes,other,no,no,8.72
12,3,no,other,no,no,4.25
14,3,no,other,yes,NA,6.31
12,2,no,other,no,no,5.29
14,3,no,other,yes,no,7.23
10,2,no,other,no,no,1.51
11,2,no,NA,yes,no,3.76
12,2,no,other,no,no,4.93
12,2,yes,other,no,no,8.31
14,3,yes,black,no,no,7.2
8,7,yes,other,no,no,4.47
12,4,no,black,no,no,6.23
12,4,no,other,no,no,7.45
12,3,no,other,no,no,4.12
12,3,NA,other,no,no,4.25
12,5,no,other,no,no,NA
12,3,no,other,yes,no,6.06
5,7,no,other,no,no,3.42
12,5,yes,other,no,no,6.4
8,4,no,other,no,no,0.93
15,2,no,other,no,no,2.72
12,3,no,hisp,no,no,7.66
12,2,no,other,yes,no,3.82
15,2,NA,other,no,no,7.71
12,2,no,black,no,no,2.88
12,2,no,other,yes,no,4.77
12,2,no,other,no,no,3.35
12,4,yes,hisp,no,no,4.25
14,2,no,other,no,no,3.53
13,2,no,other,no,no,5.23
12,4,no,other,yes,yes,6.71
15,1,yes,other,no,no,1.81
11,4,no,hisp,no,no,2.85
13,4,no,hisp,yes,NA,5.91
10,2,no,NA,no,no,1.89
12,4,yes,other,NA,no,5.22
8,5,yes,black,no,no,3.97
10,2,no,black,no,no,3.23
12,5,no,other,no,yes,7.66
11,3,no,black,no,no,NA
12,2,no,other,no,no,4.27
12,3,no,other,no,no,7.13
9,4,no,hisp,no,no,2.36
12,5,yes,other,yes,no,7.96
11,2,no,other,no,no,3.25
11,3,no,other,yes,no,4.68
12,4,yes,hisp,no,no,5.54
13,2,no,other,no,no,3.24
12,2,yes,other,no,no,10.58
9,6,no,other,yes,no,4.21
11,5,no,other,no,yes,4.31
12,2,no,hisp,no,no,6.4
12,4,yes,black,no,no,4.25
11,1,no,other,yes,no,3.31
12,3,no,other,yes,no,1
12,1,yes,other,no,no,3.25
9,3,no,other,no,no,5.21
11,3,no,black,no,no,3.75
12,2,no,other,yes,no,NA
12,2,no,other,no,no,3.27
13,1,no,black,no,no,2.47
10,3,yes,hisp,no,no,4.51
11,3,no,hisp,no,no,9.79
12,4,yes,other,no,no,7.93
12,5,no,other,no,no,5.69
12,4,no,other,no,no,5.84
12,4,no,other,no,no,5.55
11,1,no,black,no,no,3.35
12,4,yes,other,no,no,4.97
12,5,no,black,no,no,3.68
12,4,yes,other,yes,no,5.54
9,4,no,hisp,no,no,1.46
13,2,no,hisp,no,no,3.55
13,2,no,other,no,yes,3.69
12,3,no,other,no,no,4.59
12,4,yes,other,no,no,7.91
11,2,no,hisp,no,NA,3.91
14,2,no,NA,no,no,7.37
15,2,no,other,NA,no,4.04
12,4,no,black,NA,no,2.13
12,2,no,black,no,no,3.29
12,2,no,other,no,no,4.61
12,3,no,other,no,no,NA
12,5,yes,other,yes,NA,8.08
13,3,yes,other,no,no,9.91
13,2,no,other,no,no,8.35
12,3,no,other,no,no,4.67
12,5,no,other,no,no,0.69
12,4,no,hisp,no,no,5.48
8,8,no,hisp,yes,no,4.02
11,3,yes,black,yes,no,2.98
14,2,no,other,yes,no,4.95
12,4,no,other,no,no,4.78
13,1,no,other,no,no,3
12,2,no,other,no,NA,3.83
13,3,no,other,no,no,3.34
10,3,no,hisp,no,no,3.89
10,2,yes,other,no,no,2.73
15,2,no,other,no,no,6
15,2,no,black,no,no,8.44
10,3,no,hisp,yes,no,6.2
6,8,yes,hisp,no,no,NA
8,9,no,other,yes,no,2.58
13,3,no,other,no,no,2.41
7,9,no,other,no,no,5.01
13,2,yes,other,yes,no,7.1
13,2,no,other,no,no,4.41
13,4,yes,hisp,no,no,3.42
11,1,NA,hisp,no,no,3.63
11,3,no,other,no,no,6.19
12,5,no,other,no,no,14.75
14,2,no,other,no,no,7.23
9,8,no,other,no,no,4.11
12,3,no,other,no,no,4.62
13,2,no,other,no,no,2.64
5,9,no,other,no,no,3.02
12,5,no,other,no,no,3.96
12,2,no,other,no,no,3.4
12,2,no,other,no,no,4.55
12,4,yes,hisp,yes,no,7.81
12,2,no,NA,no,no,3.06
12,4,yes,other,no,no,8.9
12,2,no,other,no,no,4.34
12,3,no,black,no,no,0.47
12,4,yes,hisp,yes,no,2.83
12,2,yes,other,no,no,NA
11,5,no,black,no,no,3.52
13,NA,no,other,no,no,5.7
12,2,yes,other,yes,no,3.66
12,5,no,other,yes,no,8.72
11,2,no,other,no,no,2.73
9,7,no,black,NA,no,3.78
15,2,no,other,no,no,8.51
15,1,no,other,no,no,3.86
8,6,no,other,yes,no,6.95
8,4,no,other,no,no,4.68
12,4,yes,black,no,no,4.96
14,1,yes,other,no,no,2.54
11,3,yes,hisp,no,yes,3.29
12,1,no,other,no,no,6.6
12,3,yes,other,no,no,0.44
10,3,no,black,no,no,2.17
12,3,no,other,no,no,6.98
12,3,yes,hisp,no,no,7.66
11,2,yes,other,no,no,NA
11,3,no,other,no,no,4.22
12,2,yes,other,no,no,4.31
10,3,no,other,no,no,3.44
12,5,no,hisp,no,no,4.18
10,3,no,other,no,no,0.69
11,2,yes,NA,yes,no,5.11
12,2,yes,other,yes,no,7.02
11,2,no,other,no,no,4.52
15,2,no,other,no,no,4.36
12,2,no,other,no,no,16.81
12,4,no,other,no,no,5.16
12,2,no,other,no,no,6.53
9,3,no,other,no,yes,3.81
13,4,no,other,no,no,5.34
13,1,no,hisp,no,no,4.75
10,4,yes,black,no,no,2.66
12,4,no,other,yes,no,5.45
8,NA,no,hisp,yes,NA,4.25
12,5,yes,NA,no,no,5.87
14,2,no,other,no,no,5.16
13,1,no,hisp,no,no,0.33
15,2,no,other,no,no,3.21
11,2,no,hisp,no,NA,3.4
12,3,no,other,yes,no,NA
12,4,no,other,no,no,5.09
11,5,no,hisp,no,no,5.96
12,1,no,other,no,no,4.02
10,2,no,other,no,no,1.23
12,3,no,other,yes,no,4.16
12,3,no,other,no,no,4.85
13,2,yes,other,no,no,2.74
12,3,no,other,no,no,5.98
10,5,no,other,yes,no,5.3
14,2,no,other,yes,no,3.95
15,2,yes,other,no,no,5.11
12,4,no,other,no,no,4.83
10,3,yes,hisp,no,NA,3.71
10,2,no,other,no,no,1.95
12,2,no,hisp,no,no,5.94
12,2,no,hisp,no,no,4.67
11,2,no,black,no,no,1.75
12,4,no,hisp,no,no,2.85
10,3,no,other,no,yes,NA
12,2,no,NA,no,no,3.77
12,3,no,other,yes,no,2.98
12,1,no,other,no,no,3.45
13,4,no,other,no,no,4.39
11,4,yes,other,yes,no,3.22
16,1,no,NA,no,no,4.14
12,3,no,other,yes,no,2.56
10,2,no,other,no,yes,3.23
12,3,yes,other,no,no,6.53
12,3,no,other,no,no,5.97
12,3,no,other,no,yes,6.97
11,5,no,other,no,no,4.62
9,3,no,hisp,no,no,3.36
13,2,no,other,no,no,0.33
11,5,yes,hisp,yes,no,2.85
12,5,no,other,yes,no,4.25
10,2,no,other,no,no,3.66
10,2,no,other,no,NA,3.22
12,5,no,NA,no,no,4.17
11,2,no,other,no,no,2.5